epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.7265625,,0.7983803749084473,,
0,99,,0.90625,,0.2681211233139038,,
0,149,,0.953125,,0.14542199671268463,,
0,199,,0.953125,,0.209359809756279,,
0,249,,0.9453125,,0.14746662974357605,,
0,299,,0.9453125,,0.20383599400520325,,
0,349,,0.9609375,,0.15100067853927612,,
0,390,,,,,0.11240000277757645,2.349569320678711
0,390,0.8697400093078613,,0.3872130513191223,,,
