method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
corr_integral,0,32,0.8650000095367432,0.504355251789093,0.8557000160217285
corr_integral,0,64,0.8422999978065491,0.4849754869937897,0.8378000259399414
corr_integral,0,128,0.8467000126838684,0.4827900528907776,0.8378999829292297
corr_integral,10,32,0.8450999855995178,0.5088897943496704,0.8335999846458435
corr_integral,10,64,0.8384000062942505,0.5336540341377258,0.8313000202178955
corr_integral,10,128,0.8338000178337097,0.5709663033485413,0.8234000205993652
corr_integral,20,32,0.82669997215271,0.6374263763427734,0.8156999945640564
corr_integral,20,64,0.8248999714851379,0.5702426433563232,0.8154000043869019
corr_integral,20,128,0.8389000296592712,0.5292633771896362,0.8228999972343445
corr_integral,30,32,0.8108999729156494,0.616165041923523,0.8033000230789185
corr_integral,30,64,0.8154000043869019,0.6054384708404541,0.8047000169754028
corr_integral,30,128,0.814300000667572,0.640311598777771,0.8033999800682068
corr_integral,50,32,0.7455999851226807,0.7789618372917175,0.727400004863739
corr_integral,50,64,0.7519999742507935,0.7726616263389587,0.7537999749183655
corr_integral,50,128,0.7587000131607056,0.8134478330612183,0.7494000196456909
corr_integral,70,32,0.6725000143051147,1.0779300928115845,0.6557000279426575
corr_integral,70,64,0.6527000069618225,1.069773554801941,0.6334999799728394
corr_integral,70,128,0.6843000054359436,1.1699562072753906,0.6739000082015991
corr_integral,90,32,0.453000009059906,1.8517824411392207,0.44369998574256897
corr_integral,90,64,0.4447000026702881,1.7411412000656128,0.4431000053882599
corr_integral,90,128,0.4977000057697296,2.2116379737854004,0.4909000098705292
