method,percent_removed,val_acc_mean,val_acc_std,val_loss_mean,val_loss_std,test_acc_mean,test_acc_std,n_seeds,retention
corr_integral,0,,,1.2901434898376465,0.003469362355713443,,,3,1.0
corr_integral,10,,,1.3044978380203247,0.0021330334837590323,,,3,0.9
corr_integral,20,,,1.3269813458124797,0.0009797064324575794,,,3,0.8
corr_integral,30,,,1.356052319208781,0.003356694625510397,,,3,0.7
corr_integral,50,,,1.4307880798975627,0.004689659533933956,,,3,0.5
corr_integral,70,,,1.592899998029073,0.0035129590077737924,,,3,0.30000000000000004
corr_integral,90,,,2.2264641920725503,0.019201837615265817,,,3,0.09999999999999998
effective_rank,0,,,1.288804252942403,0.0007921384574742322,,,3,1.0
effective_rank,10,,,1.3071354627609253,0.002418098367811566,,,3,0.9
effective_rank,20,,,1.328991413116455,0.0007992304649424233,,,3,0.8
effective_rank,30,,,1.3558218081792195,0.0021623557221747223,,,3,0.7
effective_rank,50,,,1.4395519495010376,0.003286858947297022,,,3,0.5
effective_rank,70,,,1.6120944023132324,0.008980130408977396,,,3,0.30000000000000004
effective_rank,90,,,2.506573756535848,0.1147812067133678,,,3,0.09999999999999998
heuristic_filtering,0,,,1.286544402440389,0.001195462723042604,,,3,1.0
heuristic_filtering,10,,,1.3064865668614705,0.003237812130612907,,,3,0.9
heuristic_filtering,20,,,1.3307184378306072,0.0014305000917327493,,,3,0.8
heuristic_filtering,30,,,1.3553646008173625,0.0012108787102841868,,,3,0.7
heuristic_filtering,50,,,1.4446062644322712,0.002617191549392396,,,3,0.5
heuristic_filtering,70,,,1.6218559344609578,0.0069349909621009105,,,3,0.30000000000000004
heuristic_filtering,90,,,2.280818541844686,0.022040522687479264,,,3,0.09999999999999998
intrinsic_dimensionality_twonn,0,,,1.2884774208068848,0.004679057765750223,,,3,1.0
intrinsic_dimensionality_twonn,10,,,1.3038687705993652,0.00017780572058866717,,,3,0.9
intrinsic_dimensionality_twonn,20,,,1.3236583073933919,0.002578600425659694,,,3,0.8
intrinsic_dimensionality_twonn,30,,,1.3530622720718384,0.003439477360038293,,,3,0.7
intrinsic_dimensionality_twonn,50,,,1.4250784715016682,0.002388328923033717,,,3,0.5
intrinsic_dimensionality_twonn,70,,,1.57969065507253,0.0035446060889677547,,,3,0.30000000000000004
intrinsic_dimensionality_twonn,90,,,2.1743958791097007,0.011386658180234205,,,3,0.09999999999999998
llm_classifier,0,,,1.287373145421346,0.0028958157407011093,,,3,1.0
llm_classifier,10,,,1.3037582635879517,0.002462264689829198,,,3,0.9
llm_classifier,20,,,1.324477235476176,0.00215707469333049,,,3,0.8
llm_classifier,30,,,1.3527493874231975,0.0014746687404485611,,,3,0.7
llm_classifier,50,,,1.4336872895558674,0.0017680232087653504,,,3,0.5
llm_classifier,70,,,1.6054452260335286,0.002888985545767809,,,3,0.30000000000000004
llm_classifier,90,,,2.397829612096151,0.1265063170695885,,,3,0.09999999999999998
perplexity_filtering,0,,,1.2870454390843709,0.0032432163035291824,,,3,1.0
perplexity_filtering,10,,,1.308772881825765,0.0026232822970717567,,,3,0.9
perplexity_filtering,20,,,1.3341968854268391,0.0029834501211199378,,,3,0.8
perplexity_filtering,30,,,1.3610197305679321,0.0008256107932302262,,,3,0.7
perplexity_filtering,50,,,1.4460322459538777,0.0034897726705826167,,,3,0.5
perplexity_filtering,70,,,1.6064215898513794,0.0014739840506638882,,,3,0.30000000000000004
perplexity_filtering,90,,,2.234905560811361,0.0054302302477731105,,,3,0.09999999999999998
random,0,,,1.2899866104125977,0.005210861439575456,,,3,1.0
random,10,,,1.3021403948465984,0.0051939447652429365,,,3,0.9
random,20,,,1.3224971691767375,0.0006369631374609487,,,3,0.8
random,30,,,1.3440486590067546,0.003256280876294222,,,3,0.7
random,50,,,1.4140209356943767,0.004014901193918007,,,3,0.5
random,70,,,1.5707600116729736,0.00342370691526411,,,3,0.30000000000000004
random,90,,,2.2120039463043213,0.00643854315141434,,,3,0.09999999999999998
semantic_dedup,0,,,1.2904659907023113,0.0004165783476871645,,,3,1.0
semantic_dedup,10,,,1.3040740887324016,0.0016452569474752405,,,3,0.9
semantic_dedup,20,,,1.3271321455637615,0.0023812280796275463,,,3,0.8
semantic_dedup,30,,,1.356811245282491,0.0021224253456971695,,,3,0.7
semantic_dedup,50,,,1.4325356880823772,0.00118395787136017,,,3,0.5
semantic_dedup,70,,,1.5898871421813965,0.0024158318360487604,,,3,0.30000000000000004
semantic_dedup,90,,,2.3506919542948403,0.14951863600334403,,,3,0.09999999999999998
