method,percent_removed,val_acc_mean,val_acc_std,val_loss_mean,val_loss_std,test_acc_mean,test_acc_std,n_seeds,retention
corr_integral,0,,,2.6297359466552734,0.15364835053727244,,,3,1.0
corr_integral,10,,,2.665494362513224,0.30991486715329375,,,3,0.9
corr_integral,20,,,2.8290370305379233,0.4096660480794747,,,3,0.8
corr_integral,30,,,3.069394588470459,0.4313999208452261,,,3,0.7
corr_integral,50,,,2.7906808058420816,0.17225369166426127,,,3,0.5
corr_integral,70,,,3.2532171408335366,0.12290344999725204,,,3,0.30000000000000004
corr_integral,90,,,3.24063507715861,0.09650346942259726,,,3,0.09999999999999998
effective_rank,0,,,2.764176289240519,0.48233305882160427,,,3,1.0
effective_rank,10,,,2.780351003011068,0.45531548232409796,,,3,0.9
effective_rank,20,,,2.795952399571737,0.45545786457662346,,,3,0.8
effective_rank,30,,,2.741753260294596,0.1963423927108096,,,3,0.7
effective_rank,50,,,2.899090528488159,0.37335629361157685,,,3,0.5
effective_rank,70,,,3.160107135772705,0.2587084066882212,,,3,0.30000000000000004
effective_rank,90,,,3.3795251846313477,0.017735067362942,,,3,0.09999999999999998
heuristic_filtering,0,,,2.544387102127075,0.1235373754155457,,,3,1.0
heuristic_filtering,10,,,2.6295036474863687,0.15841775932187652,,,3,0.9
heuristic_filtering,20,,,2.8802355925242105,0.4045968371332422,,,3,0.8
heuristic_filtering,30,,,2.8114002545674643,0.4426477421967159,,,3,0.7
heuristic_filtering,50,,,3.053266445795695,0.25856166989742513,,,3,0.5
heuristic_filtering,70,,,3.2160658836364746,0.18287509947108796,,,3,0.30000000000000004
heuristic_filtering,90,,,3.3287266890207925,0.005464812968372189,,,3,0.09999999999999998
intrinsic_dimensionality_twonn,0,,,2.8215184211730957,0.4325056167820835,,,3,1.0
intrinsic_dimensionality_twonn,10,,,2.531317392985026,0.08828597246944515,,,3,0.9
intrinsic_dimensionality_twonn,20,,,2.7869975566864014,0.23053136413737677,,,3,0.8
intrinsic_dimensionality_twonn,30,,,3.0606727600097656,0.44858676402018716,,,3,0.7
intrinsic_dimensionality_twonn,50,,,2.863295316696167,0.39670539895983037,,,3,0.5
intrinsic_dimensionality_twonn,70,,,2.9909354050954184,0.15642688640908317,,,3,0.30000000000000004
intrinsic_dimensionality_twonn,90,,,3.3161447842915854,0.007680274331902506,,,3,0.09999999999999998
llm_classifier,0,,,2.7265912691752114,0.5148702935317215,,,3,1.0
llm_classifier,10,,,2.612849394480387,0.1208895078139597,,,3,0.9
llm_classifier,20,,,2.9110324382781982,0.37524597102515467,,,3,0.8
llm_classifier,30,,,2.8193953037261963,0.18417424327763374,,,3,0.7
llm_classifier,50,,,2.864681084950765,0.40009262887451985,,,3,0.5
llm_classifier,70,,,3.164771795272827,0.14291110347757055,,,3,0.30000000000000004
llm_classifier,90,,,3.3269147078196206,0.014702212426843912,,,3,0.09999999999999998
perplexity_filtering,0,,,2.5443756580352783,0.02678077948537039,,,3,1.0
perplexity_filtering,10,,,2.6318331559499106,0.2047262063898549,,,3,0.9
perplexity_filtering,20,,,2.899147907892863,0.39251506777701545,,,3,0.8
perplexity_filtering,30,,,2.7500112851460776,0.14734437441786088,,,3,0.7
perplexity_filtering,50,,,2.992783308029175,0.29039317269566156,,,3,0.5
perplexity_filtering,70,,,3.0858023166656494,0.21517941894831397,,,3,0.30000000000000004
perplexity_filtering,90,,,3.343315283457438,0.03842872701253291,,,3,0.09999999999999998
random,0,,,2.808241685231527,0.4454999166603042,,,3,1.0
random,10,,,2.6324950059254966,0.12924029683090374,,,3,0.9
random,20,,,2.87160317103068,0.4077888211085153,,,3,0.8
random,30,,,2.9019948641459146,0.377082326928049,,,3,0.7
random,50,,,3.0610767205556235,0.2957643662626892,,,3,0.5
random,70,,,3.19901974995931,0.19849066148517042,,,3,0.30000000000000004
random,90,,,3.3139824867248535,0.009195997853902686,,,3,0.09999999999999998
semantic_dedup,0,,,2.602366050084432,0.14553652485255733,,,3,1.0
semantic_dedup,10,,,2.566587527592977,0.13494825571335015,,,3,0.9
semantic_dedup,20,,,2.9049641291300454,0.3987495698892096,,,3,0.8
semantic_dedup,30,,,2.729679981867472,0.19113788789956404,,,3,0.7
semantic_dedup,50,,,3.0654439131418862,0.352471052433899,,,3,0.5
semantic_dedup,70,,,3.2760256131490073,0.08036887514311487,,,3,0.30000000000000004
semantic_dedup,90,,,3.324026187260946,0.005893870386998781,,,3,0.09999999999999998
