method,percent_removed,val_acc_mean,val_acc_std,val_loss_mean,val_loss_std,test_acc_mean,test_acc_std,n_seeds,retention
corr_integral,0,0.9801666736602783,0.003423931082699349,0.0788146915535132,0.01659984931175076,0.9807999928792318,0.0035763044045106526,3,1.0
corr_integral,10,0.9776000181833903,0.006668588460816013,0.09285452216863631,0.03692729621930667,0.9763999978701273,0.00700214209956128,3,0.9
corr_integral,20,0.9638000130653381,0.01466662316428496,0.17183531572421393,0.09787553565218447,0.930899997552236,0.03281722433001844,3,0.8
corr_integral,30,0.9652000069618225,0.007590128982106139,0.1486111556490262,0.030321872372167755,0.9555333256721497,0.013343279638884712,3,0.7
corr_integral,50,0.9320999979972839,0.0067104606216015755,0.23662300407886505,0.02068412087693744,0.9313999811808268,0.008252875167498354,3,0.5
corr_integral,70,0.7882333199183146,0.0038991384704146455,0.5512295365333557,0.016372234568033908,0.7908000151316324,0.004635733728218364,3,0.30000000000000004
corr_integral,90,0.17586666593948994,0.05496374259164712,2.3771671454111734,0.04973104185884566,0.17866666615009308,0.05644097246461897,3,0.09999999999999998
effective_rank,0,0.9812333385149637,0.0032470350004409087,0.07381082947055494,0.017498034358486386,0.9791333278020223,0.008177013732106974,3,1.0
effective_rank,10,0.9793333411216736,0.002665211117834484,0.0785874823729197,0.01108228758209712,0.9778666694959005,0.006469405577268885,3,0.9
effective_rank,20,0.9611333211263021,0.013939980584432113,0.17531712601582208,0.07760640170967217,0.9486666719118754,0.023028769481816702,3,0.8
effective_rank,30,0.970966657002767,0.002064798593264793,0.1118566418687502,0.009933942756284286,0.9722666541735331,0.0031085864658619783,3,0.7
effective_rank,50,0.9382666746775309,0.004350102396384979,0.2290702064832051,0.020776813522733396,0.9277999997138977,0.013719692276771174,3,0.5
effective_rank,70,0.7524000008900961,0.05081326942997333,0.7484803398450216,0.16829820952062852,0.7407666643460592,0.05531223657526304,3,0.30000000000000004
effective_rank,90,0.1124000027775764,0.0,2.331678549448649,0.004257957810140567,0.11349999904632568,0.0,3,0.09999999999999998
forgetting_events,0,0.9797000090281168,0.0047507911003841176,0.0774174978335698,0.01701331644993245,0.9782666563987732,0.0057743634345387256,3,1.0
forgetting_events,10,0.9717333316802979,0.0005507582611974664,0.10040549685557676,0.005610583990186127,0.9728999932607015,0.0020297510058352466,3,0.9
forgetting_events,20,0.9457666873931885,0.03334852039175816,0.2142809728781382,0.14399667047138492,0.9474666714668274,0.034389570915676584,3,0.8
forgetting_events,30,0.9662666519482931,0.0009018497955020595,0.12757012248039243,0.0013560747502193884,0.9675666689872742,0.0009073777524041064,3,0.7
forgetting_events,50,0.9604333440462748,0.0027061519561474316,0.15366557737191516,0.0033853566756957072,0.9624666571617126,0.001594799879871821,3,0.5
forgetting_events,70,0.9470000068346659,0.0024576657707993106,0.2340879589319229,0.00751989527632285,0.9502000013987223,0.0038223002299915165,3,0.30000000000000004
forgetting_events,90,0.7514333327611288,0.01307452336507397,1.0171867211659749,0.005545653517139576,0.7627000013987223,0.011632272176322388,3,0.09999999999999998
intrinsic_dimensionality_twonn,0,0.9723333517710367,0.008904678315271858,0.10656034201383591,0.03610839798587898,0.9680000146230062,0.011665758674084141,3,1.0
intrinsic_dimensionality_twonn,10,0.9795666734377543,0.0028360822023190584,0.07948540896177286,0.015818228800210853,0.9766999880472819,0.010311633341588616,3,0.9
intrinsic_dimensionality_twonn,20,0.965666671593984,0.002836062937232365,0.14009311795234677,0.024640595119950676,0.951366662979126,0.014757158683223477,3,0.8
intrinsic_dimensionality_twonn,30,0.9697999954223633,0.0068432450597266156,0.11981078485647834,0.028390355658765295,0.9628999829292297,0.021134801911473343,3,0.7
intrinsic_dimensionality_twonn,50,0.9604666630427042,0.0011503743945116087,0.16350930432478583,0.0062198294407340825,0.9653000036875407,0.001228798931518399,3,0.5
intrinsic_dimensionality_twonn,70,0.9017666578292847,0.014950035046912202,0.3687593738238016,0.021539993307317058,0.906500001748403,0.01866224257797032,3,0.30000000000000004
intrinsic_dimensionality_twonn,90,0.5024333496888479,0.005680091300240362,1.4698083400726318,0.008102843985321202,0.5060666600863138,0.007731305456532234,3,0.09999999999999998
random,0,0.9763333400090536,0.005727423848093163,0.09486608207225795,0.026464239309579005,0.9759666721026102,0.005852621100471737,3,1.0
random,10,0.9783999919891357,0.001900017261505016,0.08578693121671672,0.011121909083207903,0.9753999908765157,0.002861814500127214,3,0.9
random,20,0.9621666669845581,0.015457166957447824,0.15828065822521845,0.07861356963187047,0.9518666664759318,0.03293891596338269,3,0.8
random,30,0.9748333295186361,0.006717388355287261,0.10134852429231006,0.02655378576292079,0.9635000030199686,0.02723454181806319,3,0.7
random,50,0.972266674041748,0.0035104550374107815,0.12800441682338712,0.0190689614677259,0.9696333408355713,0.007123452119306038,3,0.5
random,70,0.9624666770299276,0.0013278850816023243,0.18255812923113499,0.003650430178428135,0.9649333357810974,0.0004725927157182311,3,0.30000000000000004
random,90,0.7886000076929728,0.014670705934214207,1.0925108989079793,0.010810770183689627,0.7985666791598002,0.014702481344033274,3,0.09999999999999998
