method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
corr_integral,0,32,0.9797000288963318,0.0784144327044487,0.9812999963760376
corr_integral,0,64,0.9837999939918518,0.0624185912311077,0.9840999841690063
corr_integral,0,128,0.9769999980926514,0.0956110507249832,0.9769999980926514
corr_integral,10,32,0.9814000129699708,0.0708409324288368,0.9835000038146973
corr_integral,10,64,0.9815000295639038,0.0722357481718063,0.9761999845504761
corr_integral,10,128,0.9699000120162964,0.1354868859052658,0.9695000052452087
corr_integral,20,32,0.9672999978065492,0.1361202895641327,0.9652000069618225
corr_integral,20,64,0.947700023651123,0.2825526595115661,0.8998000025749207
corr_integral,20,128,0.9764000177383424,0.0968329980969429,0.9276999831199646
corr_integral,30,32,0.9581000208854676,0.1769834011793136,0.9496999979019165
corr_integral,30,64,0.973200023174286,0.1166577115654945,0.97079998254776
corr_integral,30,128,0.964299976825714,0.1521923542022705,0.9460999965667725
corr_integral,50,32,0.9307000041007996,0.2468025684356689,0.9334999918937683
corr_integral,50,64,0.9394000172615052,0.2128218561410904,0.9383999705314636
corr_integral,50,128,0.9261999726295472,0.2502445876598358,0.9222999811172485
corr_integral,70,32,0.7870000004768372,0.5701168179512024,0.7875000238418579
corr_integral,70,64,0.785099983215332,0.5424951314926147,0.7888000011444092
corr_integral,70,128,0.7925999760627747,0.54107666015625,0.7961000204086304
corr_integral,90,32,0.1124000027775764,2.3215086460113525,0.11349999904632568
corr_integral,90,64,0.2075999975204467,2.4172346591949463,0.21199999749660492
corr_integral,90,128,0.2075999975204467,2.3927581310272217,0.21050000190734863
